Latitude,Longitude,Elevation
52.54524000,13.40971000,45.0
52.54537000,13.40928000,46.0
52.54560000,13.40888000,51.0
52.54574000,13.40892000,52.0
52.54586000,13.40901000,53.0
52.54595000,13.40918000,55.0
52.54601000,13.40943000,55.0
52.54601000,13.40967000,55.0
52.54594000,13.40988000,53.0
52.54587000,13.41000000,51.0
52.54578000,13.41005000,50.0
52.54491000,13.41048000,50.0
52.54480000,13.41043000,48.0
52.54471000,13.41035000,46.0
52.54463000,13.41024000,46.0
52.54456000,13.40998000,44.0
52.54457000,13.40975000,45.0
52.54462000,13.40954000,44.0
52.54457000,13.40930000,45.0
52.54445000,13.40910000,47.0
52.54417000,13.40884000,48.0
52.54381000,13.40685000,50.0
52.54264000,13.40747000,52.0
52.54253000,13.40773000,50.0
52.54222000,13.40786000,50.0
52.54196000,13.40789000,50.0
52.54138000,13.40818000,53.0
52.54063000,13.40431000,49.0
52.53984000,13.40148000,50.0
52.53836000,13.39620000,50.0
52.53758000,13.39341000,48.0
52.53744000,13.39312000,47.0
52.53549000,13.39006000,40.0
52.53382000,13.38814000,40.0
52.53348000,13.38733000,38.0
52.53411000,13.38653000,40.0
52.53474000,13.38576000,41.0
52.53601000,13.38428000,43.0
52.53767000,13.38231000,37.0
52.54013000,13.37978000,39.0
52.54012000,13.37951000,38.0
52.53750000,13.37512000,35.0
52.53762000,13.37496000,36.0
52.53737000,13.37455000,36.0
52.53823000,13.37317000,41.0
52.53715000,13.37088000,36.0
52.53705000,13.37032000,36.0
52.53649000,13.36961000,35.0
52.53594000,13.36840000,37.0
52.53428000,13.37031000,36.0
52.53375000,13.36906000,34.0
52.53340000,13.36896000,37.0
52.53283000,13.36951000,42.0
52.53290000,13.36965000,43.0
52.53131000,13.37107000,27.0
52.53120000,13.37115000,28.0
52.53108000,13.37095000,29.0
52.53099000,13.37101000,30.0
52.53001000,13.37180000,34.0
52.52938000,13.37245000,35.0
52.52890000,13.37298000,36.0
52.52847000,13.37357000,37.0
52.52824000,13.37382000,37.0
52.52800000,13.37404000,37.0
52.52776000,13.37420000,37.0
52.52740000,13.37432000,35.0
52.52722000,13.37435000,35.0
52.52697000,13.37433000,33.0
52.52674000,13.37425000,32.0
52.52651000,13.37408000,31.0
52.52622000,13.37381000,30.0
52.52611000,13.37363000,30.0
52.52597000,13.37360000,30.0
52.52516000,13.37360000,37.0
52.52478000,13.37359000,34.0
52.52479000,13.37267000,29.0
52.52363000,13.37266000,31.0
52.52339000,13.37291000,31.0
52.52305000,13.37414000,28.0
52.52272000,13.37503000,28.0
52.52248000,13.37552000,27.0
52.52225000,13.37589000,27.0
52.52215000,13.37606000,28.0
