Latitude,Longitude,Elevation
52.53604000,13.43313000,46.0
52.53550000,13.43422000,50.0
52.53515000,13.43493000,49.0
52.53480000,13.43564000,51.0
52.53445000,13.43636000,51.0
52.53409000,13.43709000,50.0
52.53377000,13.43776000,50.0
52.53345000,13.43843000,48.0
52.53311000,13.43920000,48.0
52.53275000,13.43991000,47.0
52.53238000,13.44061000,49.0
52.53178000,13.44156000,47.0
52.53108000,13.44227000,47.0
52.53070000,13.44272000,47.0
52.53032000,13.44317000,50.0
52.52989000,13.44368000,52.0
52.52947000,13.44418000,49.0
52.52904000,13.44469000,49.0
52.52849000,13.44528000,49.0
52.52793000,13.44587000,47.0
52.52753000,13.44626000,48.0
52.52714000,13.44666000,51.0
52.52674000,13.44705000,53.0
52.52607000,13.44765000,51.0
52.52549000,13.44804000,54.0
52.52468000,13.44857000,54.0
52.52411000,13.44896000,58.0
52.52355000,13.44935000,54.0
52.52305000,13.44974000,56.0
52.52255000,13.45012000,55.0
52.52194000,13.45057000,52.0
52.52143000,13.45089000,52.0
52.52091000,13.45121000,50.0
52.52041000,13.45156000,49.0
52.51990000,13.45192000,50.0
52.51941000,13.45223000,49.0
52.51892000,13.45254000,46.0
52.51866000,13.45254000,45.0
52.51839000,13.45250000,44.0
52.51813000,13.45287000,39.0
52.51808000,13.45302000,39.0
52.51796000,13.45321000,39.0
52.51743000,13.45342000,43.0
52.51689000,13.45362000,46.0
52.51629000,13.45383000,44.0
52.51589000,13.45402000,41.0
52.51559000,13.45396000,40.0
52.51556000,13.45396000,40.0
52.51445000,13.45346000,43.0
52.51426000,13.45337000,43.0
52.51409000,13.45330000,42.0
52.51258000,13.45263000,39.0
52.51246000,13.45257000,39.0
52.51235000,13.45252000,40.0
52.51082000,13.45184000,40.0
52.51083000,13.45178000,40.0
52.51079000,13.45177000,40.0
52.51074000,13.45173000,40.0
52.51068000,13.45171000,40.0
52.51065000,13.45173000,40.0
52.51062000,13.45175000,40.0
52.50903000,13.45104000,43.0
52.50859000,13.45102000,41.0
52.50805000,13.45070000,43.0
52.50751000,13.45027000,41.0
52.50683000,13.44978000,34.0
52.50605000,13.44933000,34.0
52.50534000,13.44883000,48.0
52.50476000,13.44838000,47.0
52.50417000,13.44793000,41.0
52.50361000,13.44748000,37.0
52.50317000,13.44712000,37.0
52.50274000,13.44651000,33.0
52.50222000,13.44626000,29.0
52.50161000,13.44546000,27.0
52.50115000,13.44484000,34.0
52.50091000,13.44465000,37.0
52.50071000,13.44452000,38.0
52.50010000,13.44403000,39.0
52.49967000,13.44473000,41.0
52.49923000,13.44542000,38.0
52.49889000,13.44603000,39.0
52.49855000,13.44665000,41.0
52.49821000,13.44726000,41.0
52.49787000,13.44787000,42.0
52.49753000,13.44846000,36.0
52.49719000,13.44905000,36.0
52.49666000,13.44993000,37.0
52.49628000,13.45055000,39.0
52.49591000,13.45116000,39.0
52.49553000,13.45178000,37.0
52.49515000,13.45239000,34.0
52.49476000,13.45296000,38.0
52.49437000,13.45353000,40.0
52.49400000,13.45411000,42.0
52.49363000,13.45469000,40.0
52.49326000,13.45527000,40.0
52.49281000,13.45596000,41.0
52.49236000,13.45664000,42.0
52.49185000,13.45748000,38.0
52.49170000,13.45763000,38.0
52.49128000,13.45707000,41.0
52.49086000,13.45651000,40.0
52.49042000,13.45588000,38.0
52.48997000,13.45525000,35.0
52.48929000,13.45445000,36.0
52.48879000,13.45381000,41.0
52.48829000,13.45317000,35.0
52.48794000,13.45262000,35.0
52.48759000,13.45207000,35.0
52.48719000,13.45158000,36.0
52.48678000,13.45109000,37.0
52.48638000,13.45059000,39.0
52.48597000,13.45010000,38.0
52.48558000,13.44952000,39.0
52.48518000,13.44894000,41.0
52.48491000,13.44905000,40.0
52.48459000,13.44975000,38.0
52.48427000,13.45044000,36.0
52.48395000,13.45114000,32.0
52.48363000,13.45184000,34.0
52.48323000,13.45259000,35.0
52.48282000,13.45334000,39.0
52.48245000,13.45398000,39.0
52.48194000,13.45430000,38.0
52.48149000,13.45428000,37.0
52.48106000,13.45411000,39.0
52.48064000,13.45362000,36.0
52.48017000,13.45441000,36.0
52.47993000,13.45475000,37.0
52.47949000,13.45548000,34.0
52.47923000,13.45520000,34.0
52.47924000,13.45509000,35.0
52.47931000,13.45507000,35.0
52.47982000,13.45406000,36.0
52.48013000,13.45336000,34.0
52.48027000,13.45263000,36.0
52.48018000,13.45139000,41.0
52.47987000,13.45059000,40.0
52.47951000,13.44986000,41.0
52.47906000,13.44932000,43.0
52.47862000,13.44879000,40.0
52.47817000,13.44825000,39.0
52.47794000,13.44793000,38.0
52.47763000,13.44802000,38.0
52.47735000,13.44862000,41.0
52.47706000,13.44922000,42.0
52.47678000,13.44982000,40.0
52.47648000,13.45042000,38.0
52.47618000,13.45102000,39.0
52.47580000,13.45177000,35.0
52.47542000,13.45252000,36.0
52.47500000,13.45227000,40.0
52.47459000,13.45222000,42.0
