Latitude,Longitude,Elevation
52.51938000,13.37616000,42.0
52.51946000,13.37616000,40.0
52.51954000,13.37616000,40.0
52.51955000,13.37481000,36.0
52.51955000,13.37354000,33.0
52.52080000,13.37354000,36.0
52.52166000,13.37534000,32.0
52.52207000,13.37653000,31.0
52.52273000,13.37559000,30.0
52.52341000,13.37374000,30.0
52.52596000,13.37375000,30.0
52.52684000,13.37460000,33.0
52.52778000,13.37439000,38.0
52.52941000,13.37242000,35.0
52.53112000,13.37100000,29.0
52.53121000,13.37122000,28.0
52.53290000,13.36972000,43.0
52.53287000,13.36950000,42.0
52.53347000,13.36899000,36.0
52.53374000,13.36912000,35.0
52.53645000,13.36615000,33.0
52.53689000,13.36582000,31.0
52.53795000,13.36251000,34.0
52.53806000,13.36206000,36.0
52.53794000,13.36171000,34.0
52.53986000,13.35884000,41.0
52.53921000,13.35669000,45.0
52.53970000,13.35489000,37.0
52.53977000,13.35351000,34.0
52.53897000,13.34901000,42.0
52.53891000,13.34678000,38.0
52.53970000,13.33991000,29.0
52.54105000,13.33490000,33.0
52.54141000,13.33428000,38.0
52.54130000,13.33045000,35.0
52.54124000,13.32842000,33.0
52.54139000,13.32766000,33.0
52.54323000,13.32530000,33.0
52.54341000,13.32573000,35.0
52.54388000,13.32513000,35.0
52.54398000,13.32404000,33.0
52.54508000,13.32233000,30.0
52.54501000,13.32210000,30.0
52.54819000,13.31787000,35.0
52.54824000,13.31518000,30.0
52.54883000,13.31428000,34.0
52.54987000,13.31685000,34.0
52.55010000,13.31675000,35.0
52.55076000,13.31317000,35.0
52.55038000,13.31242000,34.0
52.54878000,13.31199000,30.0
52.54874000,13.31052000,33.0
52.54862000,13.31006000,34.0
52.54876000,13.30167000,37.0
52.54875000,13.30081000,35.0
52.54887000,13.29642000,33.0
52.54922000,13.27792000,31.0
52.54926000,13.27245000,31.0
52.54953000,13.25969000,33.0
52.54954000,13.25773000,33.0
52.55034000,13.25316000,36.0
52.55133000,13.25053000,31.0
52.55204000,13.24934000,32.0
52.55224000,13.24866000,34.0
52.55712000,13.23904000,33.0
52.55726000,13.23902000,33.0
52.55734000,13.23889000,33.0
52.55750000,13.23838000,31.0
52.55752000,13.23815000,31.0
52.55760000,13.23793000,31.0
52.55766000,13.23794000,31.0
52.55770000,13.23802000,31.0
52.55776000,13.23793000,31.0
52.55700000,13.23679000,33.0
52.55656000,13.23545000,34.0
52.55649000,13.23315000,33.0
52.55655000,13.23315000,33.0
52.55661000,13.23312000,34.0
52.55684000,13.23271000,33.0
52.55691000,13.23181000,32.0
52.55712000,13.23152000,34.0
52.55839000,13.23097000,34.0
52.55841000,13.23086000,34.0
52.55874000,13.22901000,33.0
52.55885000,13.22872000,34.0
52.56023000,13.21988000,36.0
52.56022000,13.21972000,36.0
52.56113000,13.21274000,36.0
52.56122000,13.21275000,35.0
52.56470000,13.21594000,35.0
52.56634000,13.21685000,36.0
52.56637000,13.21701000,36.0
52.56630000,13.21847000,35.0
52.56621000,13.22117000,37.0
52.56622000,13.22128000,37.0
52.56660000,13.22194000,39.0
52.56667000,13.22198000,40.0
52.56704000,13.22212000,39.0
52.56811000,13.22171000,35.0
52.56845000,13.22191000,32.0
52.56852000,13.22199000,33.0
52.56868000,13.22253000,34.0
52.56880000,13.22253000,34.0
52.56892000,13.22248000,33.0
52.56899000,13.22255000,33.0
52.56908000,13.22280000,33.0
52.56943000,13.22338000,30.0
52.57029000,13.22287000,33.0
52.57047000,13.22275000,32.0
52.57111000,13.22136000,33.0
52.57188000,13.22117000,36.0
52.57211000,13.22118000,37.0
52.57220000,13.22118000,37.0
52.57292000,13.22121000,33.0
52.57296000,13.22132000,33.0
52.57295000,13.22217000,32.0
52.57299000,13.22260000,33.0
52.57314000,13.22287000,33.0
52.57357000,13.22288000,35.0
52.57363000,13.22283000,36.0
52.57487000,13.22000000,33.0
52.57630000,13.21877000,33.0
52.57686000,13.21764000,34.0
52.57715000,13.21741000,32.0
52.57732000,13.21720000,33.0
52.57792000,13.21718000,35.0
52.57816000,13.21681000,35.0
52.57842000,13.21642000,36.0
52.57896000,13.21649000,34.0
52.57898000,13.21646000,34.0
52.57902000,13.21634000,35.0
52.58004000,13.21650000,36.0
52.58063000,13.21618000,38.0
52.58081000,13.21577000,41.0
52.58092000,13.21440000,41.0
52.58093000,13.21345000,41.0
52.58102000,13.21321000,40.0
52.58237000,13.21316000,40.0
52.58284000,13.21279000,39.0
52.58338000,13.21276000,33.0
52.58350000,13.21269000,35.0
52.58370000,13.21225000,40.0
52.58409000,13.21103000,45.0
52.58451000,13.21083000,42.0
52.58511000,13.21090000,42.0
52.58533000,13.21040000,45.0
52.58541000,13.21012000,46.0
52.58548000,13.21012000,46.0
52.58554000,13.21022000,46.0
52.58563000,13.21072000,45.0
52.58549000,13.21146000,40.0
52.58549000,13.21166000,38.0
52.58575000,13.21234000,35.0
52.58600000,13.21263000,33.0
52.58732000,13.21301000,37.0
52.58737000,13.21316000,37.0
52.58745000,13.21341000,37.0
52.58754000,13.21343000,37.0
52.58809000,13.21318000,37.0
52.59248000,13.21306000,42.0
52.59467000,13.21070000,41.0
52.59582000,13.20854000,39.0
52.59638000,13.20699000,35.0
52.59676000,13.20637000,32.0
52.59768000,13.20385000,35.0
52.59804000,13.20349000,33.0
52.59844000,13.20329000,33.0
52.59851000,13.20317000,32.0
52.59908000,13.20197000,34.0
52.59915000,13.20192000,34.0
52.60039000,13.20154000,32.0
52.60048000,13.20143000,32.0
52.60075000,13.20086000,32.0
52.60090000,13.20075000,32.0
52.60325000,13.19955000,31.0
52.60341000,13.19933000,31.0
52.60353000,13.19928000,31.0
52.60369000,13.19928000,31.0
52.60750000,13.20036000,31.0
52.60994000,13.20395000,34.0
52.61027000,13.20406000,32.0
52.61098000,13.20402000,32.0
52.61137000,13.20416000,30.0
52.61151000,13.20438000,30.0
52.61159000,13.20460000,30.0
52.61168000,13.20508000,31.0
52.61351000,13.20484000,33.0
52.61357000,13.20479000,33.0
52.61362000,13.20471000,34.0
52.61517000,13.20499000,39.0
52.61719000,13.20465000,34.0
52.61720000,13.20487000,34.0
52.61648000,13.20510000,33.0
52.61648000,13.20525000,33.0
52.61740000,13.20800000,32.0
52.62191000,13.21341000,32.0
52.62825000,13.21632000,32.0
52.62905000,13.21632000,30.0
52.62911000,13.21622000,30.0
52.63002000,13.21388000,31.0
52.63011000,13.21385000,31.0
52.63091000,13.21382000,31.0
52.63098000,13.21388000,31.0
52.63104000,13.21435000,30.0
52.63098000,13.21443000,30.0
52.63077000,13.21452000,29.0
52.63040000,13.21505000,28.0
52.63038000,13.21518000,28.0
52.63038000,13.21532000,28.0
52.63043000,13.21601000,31.0
52.63054000,13.21625000,31.0
52.63062000,13.21627000,31.0
52.63069000,13.21626000,31.0
52.63290000,13.21569000,31.0
52.63308000,13.21578000,28.0
52.63330000,13.21577000,26.0
52.63347000,13.21515000,34.0
52.63358000,13.21455000,35.0
52.63371000,13.21455000,35.0
52.63376000,13.21446000,34.0
52.63408000,13.21233000,37.0
52.63416000,13.21224000,37.0
52.63425000,13.21220000,36.0
52.63458000,13.21217000,35.0
52.63462000,13.21226000,35.0
52.63485000,13.21318000,33.0
52.63513000,13.21358000,33.0
52.63531000,13.21368000,33.0
52.63700000,13.21399000,33.0
52.63699000,13.21412000,33.0
52.63619000,13.21879000,35.0
52.63629000,13.21883000,35.0
52.63638000,13.21887000,35.0
52.63639000,13.21905000,35.0
52.63643000,13.21939000,34.0
52.63638000,13.21953000,34.0
52.63631000,13.21952000,34.0
52.63656000,13.21982000,36.0
52.64169000,13.22407000,35.0
52.64359000,13.22677000,37.0
52.64376000,13.22630000,39.0
52.64377000,13.22614000,40.0
52.64389000,13.22578000,38.0
52.64552000,13.22622000,40.0
52.64643000,13.22683000,39.0
52.64675000,13.22733000,38.0
52.64681000,13.22737000,37.0
52.64827000,13.22746000,39.0
52.64860000,13.22734000,39.0
52.65456000,13.22143000,41.0
52.65676000,13.22149000,36.0
52.65680000,13.22159000,35.0
52.65680000,13.22259000,35.0
52.65679000,13.22356000,37.0
52.65682000,13.22375000,38.0
52.65737000,13.22407000,36.0
52.65758000,13.22447000,37.0
52.65763000,13.22495000,39.0
52.65808000,13.22520000,39.0
52.65825000,13.22515000,39.0
52.65855000,13.22468000,37.0
52.65970000,13.22476000,36.0
52.66010000,13.22457000,35.0
52.66029000,13.22454000,35.0
52.66070000,13.22475000,37.0
52.66094000,13.22525000,39.0
52.66097000,13.22535000,39.0
52.66158000,13.22738000,39.0
52.66630000,13.23397000,37.0
52.66714000,13.23604000,39.0
52.66833000,13.23803000,38.0
52.66838000,13.23804000,37.0
52.66854000,13.23801000,36.0
52.67141000,13.23507000,35.0
52.67167000,13.23452000,34.0
52.67186000,13.23393000,33.0
52.67193000,13.23383000,33.0
52.67206000,13.23376000,34.0
52.67214000,13.23378000,34.0
52.67249000,13.23401000,35.0
52.67257000,13.23400000,34.0
52.67260000,13.23429000,35.0
52.67279000,13.23473000,33.0
52.67278000,13.23532000,32.0
52.67274000,13.23540000,32.0
52.67266000,13.23544000,32.0
52.67211000,13.23548000,34.0
52.66891000,13.23849000,35.0
52.66886000,13.23874000,36.0
52.66886000,13.23887000,36.0
52.66887000,13.23906000,37.0
52.66934000,13.23978000,40.0
52.67019000,13.24030000,38.0
52.67168000,13.24081000,35.0
52.67369000,13.24170000,36.0
52.67378000,13.24167000,36.0
