Latitude,Longitude,Elevation
39.93271000,116.4712800,40.0
39.93267000,116.4713100,41.0
39.93265000,116.4713200,41.0
39.93265000,116.4718900,41.0
39.93265000,116.4727700,40.0
39.93266000,116.4734100,41.0
39.93267000,116.4740500,39.0
39.93269000,116.4747000,38.0
39.93270000,116.4753400,40.0
39.93271000,116.4759800,43.0
39.93271000,116.4766100,41.0
39.93271000,116.4772400,38.0
39.93270000,116.4778800,36.0
39.93270000,116.4785100,42.0
39.93270000,116.4791400,42.0
39.93269000,116.4801000,38.0
39.93270000,116.4805800,36.0
39.93270000,116.4805900,36.0
39.93274000,116.4805500,36.0
39.93279000,116.4805900,37.0
39.93282000,116.4806300,37.0
39.93286000,116.4807200,38.0
39.93289000,116.4807600,38.0
39.93292000,116.4808100,38.0
39.93299000,116.4808300,38.0
39.93304000,116.4808900,39.0
39.93306000,116.4809600,40.0
39.93309000,116.4810000,41.0
39.93312000,116.4810400,41.0
39.93317000,116.4810800,42.0
39.93320000,116.4811300,42.0
39.93325000,116.4811500,42.0
39.93330000,116.4811700,42.0
39.93337000,116.4811900,43.0
39.93340000,116.4812400,43.0
39.93345000,116.4812600,43.0
39.93353000,116.4812800,44.0
39.93358000,116.4812800,44.0
39.93365000,116.4812800,44.0
39.93373000,116.4812600,44.0
39.93378000,116.4812400,43.0
39.93383000,116.4812400,43.0
39.93388000,116.4812100,43.0
39.93393000,116.4812100,43.0
39.93398000,116.4811900,43.0
39.93403000,116.4811900,43.0
39.93404000,116.4812600,42.0
39.93408000,116.4813000,42.0
39.93409000,116.4813600,41.0
39.93416000,116.4813600,42.0
39.93421000,116.4814100,42.0
39.93426000,116.4814300,42.0
39.93431000,116.4814500,42.0
39.93439000,116.4814900,42.0
39.93444000,116.4814900,42.0
39.93452000,116.4815100,42.0
39.93462000,116.4815400,42.0
39.93472000,116.4815600,41.0
39.93478000,116.4815600,40.0
39.93490000,116.4815600,40.0
39.93496000,116.4815600,39.0
39.93501000,116.4815600,39.0
39.93506000,116.4815600,39.0
39.93511000,116.4815600,39.0
39.93516000,116.4815400,39.0
39.93521000,116.4815600,38.0
39.93526000,116.4816000,38.0
39.93536000,116.4815600,38.0
39.93541000,116.4815600,38.0
39.93547000,116.4815600,38.0
39.93552000,116.4815600,38.0
39.93559000,116.4815600,38.0
39.93565000,116.4815400,39.0
39.93572000,116.4815100,39.0
39.93577000,116.4815100,40.0
39.93582000,116.4815100,40.0
39.93587000,116.4815100,40.0
39.93592000,116.4815100,41.0
39.93597000,116.4815100,41.0
39.93602000,116.4815100,42.0
39.93607000,116.4815100,42.0
39.93612000,116.4815100,43.0
39.93616000,116.4815100,43.0
39.93638000,116.4815400,44.0
39.93644000,116.4815100,44.0
39.93654000,116.4815100,43.0
39.93664000,116.4815400,43.0
39.93674000,116.4815400,42.0
39.93679000,116.4815400,42.0
39.93684000,116.4815400,42.0
39.93689000,116.4815600,42.0
39.93697000,116.4815800,41.0
39.93702000,116.4815800,41.0
39.93707000,116.4816000,41.0
39.93712000,116.4816200,41.0
39.93718000,116.4816600,41.0
39.93725000,116.4816900,41.0
39.93730000,116.4816900,41.0
39.93735000,116.4817100,41.0
39.93740000,116.4817100,41.0
39.93745000,116.4817300,41.0
39.93750000,116.4817700,41.0
39.93755000,116.4817900,41.0
39.93760000,116.4818400,41.0
39.93763000,116.4818800,41.0
39.93765000,116.4819400,41.0
39.93766000,116.4820100,41.0
39.93768000,116.4820700,41.0
39.93769000,116.4821400,41.0
39.93778000,116.4822000,41.0
39.93776000,116.4822600,40.0
39.93776000,116.4823300,40.0
39.93776000,116.4823900,40.0
39.93776000,116.4824600,40.0
39.93776000,116.4825200,40.0
39.93776000,116.4825900,39.0
39.93776000,116.4826500,39.0
39.93776000,116.4827200,39.0
39.93776000,116.4827800,39.0
39.93776000,116.4828400,38.0
39.93776000,116.4829100,38.0
39.93776000,116.4829700,38.0
39.93781000,116.4829900,37.0
39.93786000,116.4830200,37.0
39.93794000,116.4830200,36.0
39.93799000,116.4830200,36.0
39.93809000,116.4830400,35.0
39.93827000,116.4830800,36.0
39.93834000,116.4831000,36.0
39.93839000,116.4830800,36.0
39.93845000,116.4830800,37.0
39.93850000,116.4830800,37.0
39.93857000,116.4830600,37.0
39.93871000,116.4830600,38.0
39.93880000,116.4830400,37.0
39.93890000,116.4830400,37.0
39.93909000,116.4830400,37.0
39.93924000,116.4830600,38.0
39.93929000,116.4830600,38.0
39.93942000,116.4830600,38.0
39.93950000,116.4830600,39.0
39.93965000,116.4830600,39.0
39.93987000,116.4830600,41.0
39.93992000,116.4830400,41.0
39.93998000,116.4830400,41.0
39.94005000,116.4830400,41.0
39.94010000,116.4830400,41.0
39.94018000,116.4830600,41.0
39.94024000,116.4830600,41.0
39.94029000,116.4830600,41.0
39.94038000,116.4830600,40.0
39.94044000,116.4830600,39.0
39.94051000,116.4830600,38.0
39.94057000,116.4830600,37.0
39.94064000,116.4830600,37.0
39.94069000,116.4830600,37.0
39.94074000,116.4830600,36.0
39.94079000,116.4830600,36.0
39.94085000,116.4830800,36.0
39.94099000,116.4830800,36.0
39.94107000,116.4830800,36.0
39.94123000,116.4831200,38.0
39.94128000,116.4831200,38.0
39.94133000,116.4831200,39.0
