Latitude,Longitude,Elevation
39.90090000,116.3934300,51.0
39.90135000,116.3933400,49.0
39.90180000,116.3932400,49.0
39.90225000,116.3931500,51.0
39.90270000,116.3930500,45.0
39.90315000,116.3929600,44.0
39.90371000,116.3930000,48.0
39.90427000,116.3930500,47.0
39.90483000,116.3930900,48.0
39.90529000,116.3930700,48.0
39.90574000,116.3930400,51.0
39.90620000,116.3930200,52.0
39.90661000,116.3930700,47.0
39.90658000,116.3924700,49.0
39.90656000,116.3918800,50.0
39.90653000,116.3912800,49.0
39.90698000,116.3912600,57.0
39.90744000,116.3912400,59.0
39.90789000,116.3912300,49.0
39.90834000,116.3912100,49.0
39.90880000,116.3911900,55.0
39.90925000,116.3911700,52.0
39.90970000,116.3911600,51.0
39.91015000,116.3911400,50.0
39.91061000,116.3911200,48.0
39.91106000,116.3911000,48.0
39.91151000,116.3910900,51.0
39.91197000,116.3910700,60.0
39.91242000,116.3910500,68.0
39.91289000,116.3910200,54.0
39.91336000,116.3909900,53.0
39.91382000,116.3909600,59.0
39.91429000,116.3909300,55.0
39.91476000,116.3909000,52.0
39.91523000,116.3908800,57.0
39.91571000,116.3908500,64.0
39.91618000,116.3908300,63.0
39.91666000,116.3908000,64.0
39.91713000,116.3907800,60.0
39.91739000,116.3907900,56.0
39.91740000,116.3908000,56.0
39.91738000,116.3907700,56.0
39.91739000,116.3914300,54.0
39.91740000,116.3920800,54.0
39.91741000,116.3927400,53.0
39.91795000,116.3927100,58.0
39.91848000,116.3926900,58.0
39.91902000,116.3926600,54.0
39.91955000,116.3926400,54.0
39.92009000,116.3926100,55.0
39.92013000,116.3920000,53.0
39.92017000,116.3913900,55.0
39.92018000,116.3904900,57.0
39.91947000,116.3906100,59.0
39.91942000,116.3903500,59.0
39.91948000,116.3904800,59.0
39.91947000,116.3904000,59.0
39.91947000,116.3903100,58.0
39.91947000,116.3902200,58.0
39.91945000,116.3901600,57.0
39.91938000,116.3901400,57.0
39.91937000,116.3902000,58.0
39.91932000,116.3902800,59.0
39.91927000,116.3903400,59.0
39.91926000,116.3904700,59.0
39.91925000,116.3905900,59.0
39.91925000,116.3907500,59.0
39.91924000,116.3908500,58.0
39.91925000,116.3909200,58.0
39.91929000,116.3909700,57.0
39.91931000,116.3910200,57.0
39.91932000,116.3911100,56.0
39.91941000,116.3911700,55.0
39.91947000,116.3910800,56.0
39.91947000,116.3909700,57.0
39.91947000,116.3908900,58.0
39.91947000,116.3908000,59.0
39.91947000,116.3907100,59.0
