Latitude,Longitude,Elevation
40.80053000,-73.4464300,94.0
40.80053000,-73.4464500,94.0
40.80053000,-73.4464300,94.0
40.80048000,-73.4464300,94.0
40.80048000,-73.4465000,94.0
40.80051000,-73.4467100,96.0
40.80048000,-73.4468500,97.0
40.80031000,-73.4468800,97.0
40.80000000,-73.4469800,96.0
40.79993000,-73.4470100,96.0
40.79971000,-73.4470800,94.0
40.79955000,-73.4472100,93.0
40.79931000,-73.4472000,93.0
40.79905000,-73.4472700,93.0
40.79866000,-73.4474000,93.0
40.79840000,-73.4477600,94.0
40.79815000,-73.4479700,95.0
40.79785000,-73.4481400,95.0
40.79753000,-73.4481700,94.0
40.79733000,-73.4482100,93.0
40.79721000,-73.4484000,92.0
40.79716000,-73.4485600,91.0
40.79721000,-73.4488700,90.0
40.79718000,-73.4490100,89.0
40.79705000,-73.4490400,87.0
40.79683000,-73.4489600,86.0
40.79652000,-73.4490400,86.0
40.79642000,-73.4489600,87.0
40.79629000,-73.4487900,91.0
40.79606000,-73.4487600,93.0
40.79580000,-73.4488100,93.0
40.79544000,-73.4490700,90.0
40.79519000,-73.4490400,90.0
40.79505000,-73.4490900,89.0
40.79489000,-73.4492100,88.0
40.79473000,-73.4491400,89.0
40.79462000,-73.4490900,88.0
40.79427000,-73.4492000,87.0
40.79353000,-73.4493100,89.0
40.79339000,-73.4492200,90.0
40.79316000,-73.4491100,91.0
40.79289000,-73.4491300,91.0
40.79271000,-73.4490400,90.0
40.79250000,-73.4489100,88.0
40.79229000,-73.4489100,86.0
40.79209000,-73.4490700,85.0
40.79199000,-73.4491400,85.0
40.79201000,-73.4492600,86.0
40.79189000,-73.4493900,86.0
40.79167000,-73.4495400,85.0
40.79151000,-73.4496500,85.0
40.79151000,-73.4497500,85.0
40.79166000,-73.4497800,84.0
40.79177000,-73.4497100,85.0
40.79193000,-73.4495800,86.0
40.79209000,-73.4493900,87.0
40.79216000,-73.4496400,87.0
40.79260000,-73.4512500,84.0
40.79249000,-73.4515200,82.0
40.79263000,-73.4516000,81.0
40.79276000,-73.4516500,81.0
40.79319000,-73.4526000,77.0
40.79328000,-73.4526300,78.0
40.79339000,-73.4525800,78.0
40.79379000,-73.4523800,79.0
40.79395000,-73.4521400,79.0
40.79406000,-73.4519700,79.0
40.79417000,-73.4519400,79.0
40.79438000,-73.4520200,79.0
40.79451000,-73.4519400,78.0
40.79457000,-73.4517500,78.0
40.79465000,-73.4514600,78.0
40.79465000,-73.4513800,79.0
40.79396000,-73.4512600,82.0
40.79376000,-73.4512400,82.0
40.79348000,-73.4512100,82.0
40.79325000,-73.4511800,82.0
40.79306000,-73.4511100,83.0
40.79301000,-73.4510700,84.0
40.79301000,-73.4509900,85.0
40.79313000,-73.4507800,85.0
40.79324000,-73.4504600,86.0
40.79345000,-73.4500600,86.0
40.79357000,-73.4500100,86.0
40.79376000,-73.4499900,86.0
40.79386000,-73.4501100,85.0
40.79392000,-73.4501800,85.0
40.79402000,-73.4505000,84.0
40.79419000,-73.4507100,83.0
40.79467000,-73.4509700,80.0
40.79495000,-73.4509800,81.0
40.79512000,-73.4510300,82.0
40.79517000,-73.4510500,82.0
40.79535000,-73.4511400,83.0
40.79542000,-73.4510600,82.0
40.79538000,-73.4509200,82.0
40.79528000,-73.4507500,83.0
40.79525000,-73.4505500,85.0
40.79520000,-73.4505100,85.0
40.79503000,-73.4505200,85.0
40.79485000,-73.4504900,84.0
40.79474000,-73.4503600,85.0
40.79481000,-73.4502300,86.0
40.79491000,-73.4501300,86.0
40.79502000,-73.4499800,86.0
40.79502000,-73.4499900,86.0
40.79507000,-73.4499300,86.0
40.79519000,-73.4497300,86.0
40.79536000,-73.4496600,86.0
40.79545000,-73.4496400,85.0
40.79552000,-73.4498400,85.0
40.79554000,-73.4500800,84.0
40.79555000,-73.4501700,84.0
40.79554000,-73.4503900,83.0
40.79564000,-73.4505200,82.0
40.79574000,-73.4505100,81.0
40.79604000,-73.4502100,81.0
40.79611000,-73.4499400,81.0
40.79616000,-73.4497600,80.0
40.79627000,-73.4497900,80.0
40.79639000,-73.4499400,80.0
40.79675000,-73.4499900,81.0
40.79700000,-73.4501000,82.0
40.79709000,-73.4501000,82.0
40.79719000,-73.4501600,82.0
40.79733000,-73.4502000,82.0
40.79736000,-73.4500800,83.0
40.79733000,-73.4498100,85.0
40.79736000,-73.4497100,85.0
40.79748000,-73.4497500,84.0
40.79766000,-73.4497800,83.0
40.79778000,-73.4497100,84.0
40.79790000,-73.4498800,82.0
40.79790000,-73.4499100,81.0
40.79795000,-73.4501300,80.0
40.79808000,-73.4501800,79.0
40.79838000,-73.4502700,80.0
40.79855000,-73.4501800,81.0
40.79874000,-73.4501200,82.0
40.79893000,-73.4502100,82.0
40.79903000,-73.4504400,83.0
40.79899000,-73.4506000,83.0
40.79898000,-73.4506100,83.0
40.79883000,-73.4507100,82.0
40.79856000,-73.4508000,79.0
40.79837000,-73.4508700,78.0
40.79818000,-73.4508400,76.0
40.79799000,-73.4509100,74.0
40.79787000,-73.4510200,74.0
40.79778000,-73.4510800,74.0
40.79763000,-73.4509500,75.0
40.79741000,-73.4510700,75.0
40.79719000,-73.4509500,77.0
40.79713000,-73.4511300,77.0
40.79706000,-73.4511900,77.0
40.79699000,-73.4512400,76.0
40.79697000,-73.4515800,74.0
40.79698000,-73.4517200,74.0
40.79691000,-73.4518300,74.0
40.79676000,-73.4516700,74.0
40.79663000,-73.4512700,76.0
40.79663000,-73.4511000,78.0
40.79668000,-73.4509300,78.0
40.79676000,-73.4508500,78.0
40.79676000,-73.4507100,79.0
40.79667000,-73.4505600,79.0
40.79660000,-73.4504600,80.0
40.79654000,-73.4504600,80.0
40.79650000,-73.4505500,80.0
40.79644000,-73.4507100,79.0
40.79633000,-73.4507000,79.0
40.79625000,-73.4505800,80.0
40.79615000,-73.4505800,80.0
40.79580000,-73.4508200,81.0
40.79562000,-73.4510200,82.0
40.79563000,-73.4511100,82.0
40.79564000,-73.4512500,82.0
40.79568000,-73.4514200,82.0
40.79541000,-73.4517400,80.0
40.79517000,-73.4516800,79.0
40.79480000,-73.4514500,79.0
40.79465000,-73.4513800,79.0
40.79465000,-73.4514600,78.0
