Latitude,Longitude,Elevation
39.88241000,116.4146500,45.0
39.88241000,116.4147400,45.0
39.88241000,116.4146500,45.0
39.88241000,116.4145700,44.0
39.88241000,116.4144800,44.0
39.88244000,116.4144400,44.0
39.88244000,116.4143500,44.0
39.88244000,116.4142700,44.0
39.88244000,116.4141800,44.0
39.88244000,116.4140900,44.0
39.88244000,116.4140100,44.0
39.88244000,116.4139200,45.0
39.88244000,116.4138400,45.0
39.88244000,116.4137500,46.0
39.88241000,116.4137100,46.0
39.88241000,116.4136200,46.0
39.88241000,116.4135400,47.0
39.88241000,116.4134100,47.0
39.88241000,116.4133200,48.0
39.88241000,116.4132400,48.0
39.88238000,116.4131500,48.0
39.88238000,116.4130600,48.0
39.88238000,116.4129800,48.0
39.88238000,116.4128900,48.0
39.88238000,116.4128100,47.0
39.88238000,116.4127200,47.0
39.88238000,116.4126300,47.0
39.88238000,116.4125100,47.0
39.88238000,116.4123800,46.0
39.88238000,116.4122900,46.0
39.88238000,116.4121600,45.0
39.88238000,116.4120800,45.0
39.88241000,116.4120300,44.0
39.88241000,116.4119500,44.0
39.88241000,116.4118600,45.0
39.88241000,116.4117800,45.0
39.88241000,116.4116900,46.0
39.88241000,116.4116000,46.0
39.88241000,116.4115200,47.0
39.88241000,116.4114300,48.0
39.88241000,116.4113500,48.0
39.88241000,116.4112600,48.0
39.88241000,116.4111800,47.0
39.88241000,116.4110900,47.0
39.88241000,116.4110000,47.0
39.88241000,116.4109200,47.0
39.88241000,116.4108300,47.0
39.88241000,116.4107500,47.0
39.88244000,116.4107000,48.0
39.88244000,116.4106200,48.0
39.88247000,116.4105300,48.0
39.88247000,116.4104500,48.0
39.88247000,116.4103600,48.0
39.88247000,116.4102700,48.0
39.88247000,116.4101900,48.0
39.88247000,116.4100600,48.0
39.88247000,116.4099700,48.0
39.88247000,116.4098900,48.0
39.88247000,116.4098000,48.0
39.88247000,116.4097200,48.0
39.88247000,116.4096300,49.0
39.88247000,116.4095400,50.0
39.88247000,116.4094600,50.0
39.88247000,116.4093700,51.0
39.88247000,116.4092900,52.0
39.88247000,116.4092000,53.0
39.88247000,116.4091200,53.0
39.88247000,116.4090300,53.0
39.88247000,116.4089400,53.0
39.88247000,116.4088600,53.0
39.88247000,116.4087700,53.0
39.88244000,116.4087300,53.0
39.88244000,116.4086400,52.0
39.88244000,116.4085600,52.0
39.88244000,116.4084700,52.0
39.88241000,116.4084300,52.0
39.88241000,116.4083400,52.0
39.88238000,116.4083000,52.0
39.88238000,116.4082100,52.0
39.88234000,116.4081700,52.0
39.88234000,116.4080900,52.0
39.88231000,116.4080400,53.0
39.88231000,116.4079600,53.0
39.88228000,116.4079100,53.0
39.88228000,116.4078300,54.0
39.88224000,116.4077900,54.0
39.88224000,116.4077000,55.0
39.88224000,116.4076100,55.0
39.88224000,116.4075300,55.0
39.88228000,116.4074400,55.0
39.88231000,116.4073600,54.0
39.88234000,116.4073100,54.0
39.88238000,116.4072700,53.0
39.88238000,116.4071800,53.0
39.88241000,116.4071400,53.0
39.88244000,116.4070600,53.0
39.88247000,116.4070100,52.0
39.88251000,116.4069700,52.0
39.88254000,116.4069300,52.0
39.88257000,116.4068800,53.0
39.88261000,116.4068400,53.0
39.88261000,116.4067600,53.0
39.88261000,116.4066700,53.0
39.88261000,116.4065800,53.0
39.88261000,116.4065000,54.0
39.88257000,116.4064100,54.0
