Latitude,Longitude,Elevation
40.11189000,116.5489800,36.0
40.11153000,116.5490300,39.0
40.11157000,116.5496300,40.0
40.11205000,116.5495400,41.0
40.11252000,116.5494800,41.0
40.11298000,116.5494200,40.0
40.11345000,116.5493600,38.0
40.11391000,116.5493000,39.0
40.11438000,116.5492500,41.0
40.11484000,116.5491900,40.0
40.11531000,116.5491300,38.0
40.11577000,116.5490700,40.0
40.11624000,116.5490100,39.0
40.11676000,116.5489300,40.0
40.11728000,116.5488500,40.0
40.11786000,116.5488000,40.0
40.11843000,116.5487400,41.0
40.11876000,116.5487000,40.0
40.11924000,116.5486600,40.0
40.11972000,116.5486100,42.0
40.12019000,116.5485700,41.0
40.12067000,116.5485200,40.0
40.12122000,116.5484500,40.0
40.12129000,116.5484400,40.0
40.12152000,116.5484100,39.0
40.12210000,116.5483400,39.0
40.12268000,116.5482700,43.0
40.12332000,116.5481600,40.0
40.12339000,116.5481600,40.0
40.12389000,116.5481000,41.0
40.12439000,116.5480300,41.0
40.12489000,116.5479700,40.0
40.12539000,116.5479100,41.0
40.12590000,116.5478400,41.0
40.12640000,116.5477800,41.0
40.12690000,116.5477100,42.0
40.12740000,116.5476500,43.0
40.12771000,116.5476400,44.0
40.12805000,116.5476700,43.0
40.12857000,116.5478400,42.0
40.12909000,116.5480100,43.0
40.12961000,116.5481800,42.0
40.13013000,116.5483500,40.0
40.13049000,116.5484600,40.0
40.13112000,116.5485000,40.0
40.13162000,116.5483700,41.0
40.13213000,116.5481800,41.0
40.13264000,116.5479900,40.0
40.13315000,116.5478000,39.0
40.13366000,116.5476100,41.0
40.13417000,116.5474200,39.0
40.13448000,116.5473200,39.0
40.13494000,116.5471600,39.0
40.13540000,116.5470000,39.0
40.13587000,116.5468400,40.0
40.13633000,116.5466800,40.0
40.13679000,116.5465200,40.0
40.13725000,116.5463600,41.0
40.13773000,116.5462100,41.0
40.13824000,116.5461300,41.0
40.13872000,116.5461800,43.0
40.13920000,116.5462300,40.0
40.13968000,116.5462900,40.0
40.14016000,116.5463400,40.0
40.14064000,116.5463900,42.0
40.14114000,116.5464700,46.0
40.14164000,116.5465600,45.0
40.14213000,116.5466400,43.0
40.14263000,116.5467200,42.0
40.14313000,116.5468100,40.0
40.14363000,116.5468900,40.0
40.14421000,116.5469900,41.0
40.14479000,116.5470800,39.0
40.14553000,116.5471500,40.0
40.14606000,116.5471600,42.0
40.14660000,116.5471600,42.0
40.14713000,116.5471700,43.0
40.14766000,116.5471700,41.0
40.14813000,116.5471800,39.0
40.14859000,116.5471800,39.0
40.14908000,116.5471700,41.0
40.14957000,116.5471700,42.0
40.15006000,116.5471600,41.0
40.15052000,116.5471600,39.0
40.15098000,116.5471600,40.0
40.15145000,116.5471600,41.0
40.15191000,116.5471500,41.0
40.15237000,116.5471500,42.0
40.15283000,116.5471500,44.0
40.15331000,116.5471500,42.0
40.15379000,116.5471400,41.0
40.15427000,116.5471400,42.0
40.15475000,116.5471400,43.0
40.15523000,116.5471300,43.0
40.15571000,116.5471300,42.0
40.15623000,116.5471300,41.0
40.15675000,116.5471300,42.0
40.15727000,116.5471200,41.0
40.15779000,116.5471200,44.0
40.15826000,116.5471200,44.0
40.15872000,116.5471100,43.0
40.15919000,116.5471100,43.0
40.15965000,116.5471000,42.0
40.16012000,116.5471000,43.0
40.16058000,116.5471000,44.0
40.16105000,116.5470900,44.0
40.16152000,116.5470900,44.0
40.16198000,116.5470800,43.0
40.16245000,116.5470800,43.0
40.16291000,116.5470700,44.0
40.16338000,116.5470700,45.0
40.16424000,116.5470900,45.0
40.16498000,116.5471700,46.0
40.16577000,116.5473800,46.0
40.16645000,116.5476700,44.0
40.16695000,116.5479500,45.0
40.16739000,116.5482300,46.0
40.16781000,116.5486000,46.0
40.16824000,116.5489700,46.0
40.16862000,116.5493700,44.0
40.16901000,116.5497700,45.0
40.16939000,116.5501700,44.0
40.16975000,116.5505500,42.0
40.17011000,116.5509200,43.0
40.17047000,116.5513000,42.0
40.17086000,116.5517100,44.0
40.17126000,116.5521300,46.0
40.17165000,116.5525400,45.0
40.17222000,116.5529700,45.0
40.17279000,116.5533900,43.0
40.17342000,116.5536900,45.0
40.17404000,116.5539900,46.0
40.17459000,116.5541600,45.0
40.17514000,116.5543300,46.0
40.17527000,116.5543700,47.0
40.17603000,116.5545000,47.0
40.17649000,116.5546000,46.0
40.17696000,116.5546900,43.0
40.17743000,116.5547900,43.0
40.17789000,116.5548800,46.0
40.17836000,116.5549800,44.0
40.17882000,116.5550700,45.0
40.17927000,116.5551600,45.0
40.17972000,116.5552500,44.0
40.18018000,116.5553500,46.0
40.18063000,116.5554400,46.0
40.18108000,116.5555300,46.0
40.18165000,116.5556500,47.0
40.18223000,116.5557600,47.0
40.18280000,116.5558800,48.0
40.18332000,116.5559800,49.0
40.18384000,116.5560700,50.0
40.18425000,116.5561100,49.0
40.18460000,116.5561100,48.0
40.18517000,116.5560700,49.0
40.18573000,116.5560200,49.0
40.18632000,116.5559700,47.0
40.18691000,116.5559100,45.0
40.18744000,116.5558600,44.0
40.18797000,116.5558100,43.0
40.18849000,116.5557600,44.0
40.18902000,116.5557100,47.0
40.18972000,116.5556400,48.0
40.18995000,116.5556000,48.0
40.19020000,116.5555100,47.0
40.19046000,116.5553800,47.0
40.19075000,116.5551800,49.0
40.19142000,116.5545300,46.0
40.19178000,116.5541800,46.0
40.19214000,116.5538200,48.0
40.19250000,116.5534700,45.0
40.19298000,116.5529900,44.0
40.19363000,116.5523600,45.0
40.19405000,116.5519500,47.0
40.19448000,116.5515300,48.0
40.19490000,116.5511200,48.0
40.19516000,116.5509200,48.0
40.19551000,116.5507000,49.0
40.19580000,116.5505800,49.0
40.19605000,116.5504900,48.0
40.19632000,116.5504200,48.0
40.19659000,116.5503700,49.0
40.19708000,116.5503500,48.0
40.19759000,116.5503500,49.0
40.19809000,116.5503500,49.0
40.19860000,116.5503500,48.0
40.19911000,116.5503500,48.0
40.19962000,116.5503500,49.0
40.20012000,116.5503500,50.0
40.20063000,116.5503500,49.0
40.20110000,116.5503500,49.0
40.20158000,116.5503500,49.0
40.20205000,116.5503500,51.0
40.20252000,116.5503500,51.0
40.20300000,116.5503600,49.0
40.20347000,116.5503600,49.0
40.20394000,116.5503600,49.0
40.20442000,116.5503600,51.0
40.20489000,116.5503600,50.0
40.20537000,116.5503600,49.0
40.20584000,116.5503600,48.0
40.20632000,116.5503500,47.0
40.20680000,116.5503500,46.0
40.20727000,116.5503500,47.0
40.20775000,116.5503500,50.0
40.20822000,116.5503400,50.0
40.20870000,116.5503400,49.0
40.20918000,116.5503400,49.0
40.20966000,116.5503400,50.0
40.21015000,116.5503400,49.0
40.21063000,116.5503400,50.0
40.21111000,116.5503500,51.0
40.21159000,116.5503500,50.0
40.21207000,116.5503500,47.0
40.21256000,116.5503500,46.0
40.21304000,116.5503500,47.0
40.21352000,116.5503500,49.0
40.21399000,116.5503700,48.0
40.21447000,116.5503800,50.0
40.21494000,116.5504000,49.0
40.21541000,116.5504200,50.0
40.21588000,116.5504400,50.0
40.21636000,116.5504500,50.0
40.21683000,116.5504700,49.0
40.21730000,116.5504900,48.0
40.21777000,116.5505100,48.0
40.21825000,116.5505200,48.0
40.21872000,116.5505400,47.0
40.21886000,116.5505400,47.0
40.21941000,116.5505600,48.0
40.21996000,116.5505800,50.0
40.22051000,116.5506000,51.0
40.22106000,116.5506200,52.0
40.22160000,116.5506400,50.0
40.22207000,116.5506600,49.0
40.22214000,116.5506800,49.0
40.22269000,116.5507100,47.0
40.22325000,116.5507300,48.0
40.22380000,116.5507600,47.0
40.22435000,116.5507800,48.0
40.22485000,116.5508200,49.0
40.22535000,116.5508500,49.0
40.22584000,116.5508900,49.0
40.22634000,116.5509200,51.0
40.22684000,116.5509600,50.0
40.22733000,116.5509900,50.0
40.22783000,116.5510300,51.0
40.22833000,116.5510600,50.0
40.22880000,116.5510800,48.0
40.22927000,116.5511000,48.0
40.22974000,116.5511100,51.0
40.23020000,116.5511300,50.0
40.23067000,116.5511500,49.0
40.23114000,116.5511700,50.0
40.23161000,116.5511800,51.0
40.23208000,116.5512000,51.0
40.23255000,116.5512200,50.0
40.23301000,116.5512400,50.0
40.23348000,116.5512500,49.0
40.23395000,116.5512700,50.0
40.23442000,116.5512900,51.0
40.23489000,116.5513100,51.0
40.23536000,116.5513200,51.0
40.23582000,116.5513400,48.0
40.23629000,116.5513600,50.0
40.23676000,116.5513800,53.0
40.23723000,116.5513900,52.0
40.23770000,116.5514100,53.0
40.23817000,116.5514300,51.0
40.23863000,116.5514500,49.0
40.23910000,116.5514600,51.0
40.23957000,116.5514800,52.0
40.24002000,116.5515000,52.0
40.24047000,116.5515300,53.0
40.24092000,116.5515500,53.0
40.24137000,116.5515800,53.0
40.24182000,116.5516000,53.0
40.24227000,116.5516300,50.0
40.24272000,116.5516500,50.0
40.24317000,116.5516800,50.0
40.24362000,116.5517000,52.0
40.24407000,116.5517300,51.0
40.24452000,116.5517500,50.0
40.24497000,116.5517800,52.0
40.24542000,116.5518000,51.0
40.24588000,116.5518300,51.0
40.24634000,116.5518500,50.0
40.24680000,116.5518800,51.0
40.24726000,116.5519100,54.0
40.24772000,116.5519300,54.0
40.24818000,116.5519600,56.0
40.24871000,116.5519900,54.0
40.24924000,116.5520200,53.0
40.24977000,116.5520400,53.0
40.25030000,116.5520700,54.0
40.25083000,116.5521000,55.0
40.25115000,116.5520900,54.0
40.25148000,116.5520300,54.0
40.25175000,116.5519400,54.0
40.25203000,116.5518200,56.0
40.25242000,116.5515800,56.0
40.25307000,116.5511400,57.0
40.25350000,116.5509200,57.0
40.25392000,116.5506900,58.0
40.25435000,116.5504700,57.0
40.25477000,116.5502400,53.0
40.25520000,116.5500200,52.0
40.25562000,116.5498000,53.0
40.25605000,116.5495700,55.0
