Latitude,Longitude,Elevation
40.83292000,-73.1273500,20.0
40.83293000,-73.1273500,20.0
40.83305000,-73.1275500,20.0
40.83308000,-73.1275900,21.0
40.83312000,-73.1276400,21.0
40.83315000,-73.1276800,21.0
40.83319000,-73.1277200,21.0
40.83322000,-73.1277700,21.0
40.83326000,-73.1278100,21.0
40.83329000,-73.1278500,21.0
40.83334000,-73.1278400,20.0
40.83338000,-73.1278100,20.0
40.83341000,-73.1277500,20.0
40.83345000,-73.1277000,20.0
40.83349000,-73.1276500,20.0
40.83352000,-73.1276100,20.0
40.83357000,-73.1275800,20.0
40.83361000,-73.1275600,20.0
40.83366000,-73.1275600,19.0
40.83371000,-73.1275600,19.0
40.83375000,-73.1275400,19.0
40.83380000,-73.1275100,19.0
40.83385000,-73.1275000,19.0
40.83390000,-73.1275200,19.0
40.83394000,-73.1275500,19.0
40.83399000,-73.1275900,19.0
40.83403000,-73.1276200,19.0
40.83407000,-73.1276600,19.0
40.83411000,-73.1277000,19.0
40.83414000,-73.1277400,19.0
40.83416000,-73.1277700,19.0
40.83430000,-73.1279100,18.0
40.83432000,-73.1279600,18.0
40.83434000,-73.1280300,18.0
40.83436000,-73.1280900,18.0
40.83438000,-73.1281500,18.0
40.83441000,-73.1281900,18.0
40.83444000,-73.1282400,18.0
40.83447000,-73.1282900,19.0
40.83451000,-73.1283300,19.0
40.83455000,-73.1283600,19.0
40.83460000,-73.1283800,20.0
40.83464000,-73.1283900,20.0
40.83469000,-73.1283900,20.0
40.83474000,-73.1283800,21.0
40.83479000,-73.1283800,21.0
40.83483000,-73.1283900,21.0
40.83487000,-73.1284300,21.0
40.83490000,-73.1284800,21.0
40.83491000,-73.1285400,21.0
40.83491000,-73.1286000,21.0
40.83488000,-73.1286600,21.0
40.83485000,-73.1287100,21.0
40.83480000,-73.1287600,21.0
40.83476000,-73.1287800,21.0
40.83472000,-73.1288000,20.0
40.83467000,-73.1288300,20.0
40.83463000,-73.1288600,20.0
40.83458000,-73.1288900,19.0
40.83454000,-73.1289200,19.0
40.83449000,-73.1289400,19.0
40.83445000,-73.1289700,19.0
40.83441000,-73.1290000,19.0
40.83436000,-73.1290400,20.0
40.83432000,-73.1290600,20.0
40.83428000,-73.1290300,20.0
40.83424000,-73.1289900,19.0
40.83420000,-73.1289500,19.0
40.83417000,-73.1289000,19.0
40.83414000,-73.1288500,19.0
40.83411000,-73.1288100,19.0
40.83407000,-73.1287600,19.0
40.83404000,-73.1287200,19.0
40.83400000,-73.1286900,19.0
40.83395000,-73.1286800,19.0
40.83390000,-73.1286900,20.0
40.83386000,-73.1287100,20.0
40.83382000,-73.1287400,20.0
40.83378000,-73.1287700,20.0
40.83373000,-73.1287600,20.0
40.83371000,-73.1287000,20.0
40.83369000,-73.1286800,20.0
40.83361000,-73.1285400,20.0
40.83358000,-73.1285000,20.0
40.83354000,-73.1284600,20.0
40.83351000,-73.1284100,20.0
40.83349000,-73.1283600,20.0
40.83346000,-73.1283000,20.0
40.83344000,-73.1282500,20.0
40.83342000,-73.1281900,20.0
40.83339000,-73.1281500,20.0
40.83336000,-73.1281000,20.0
40.83333000,-73.1280500,21.0
40.83330000,-73.1280000,21.0
40.83328000,-73.1279400,21.0
40.83327000,-73.1278800,21.0
40.83325000,-73.1278200,21.0
40.83323000,-73.1277800,21.0
40.83292000,-73.1273500,20.0
