Latitude,Longitude,Elevation
40.81610000,-73.4709600,73.0
40.81611000,-73.4713600,73.0
40.81601000,-73.4713400,73.0
40.81600000,-73.4712600,73.0
40.81601000,-73.4711900,73.0
40.81602000,-73.4711200,73.0
40.81607000,-73.4711100,73.0
40.81611000,-73.4710800,73.0
40.81616000,-73.4711000,74.0
40.81612000,-73.4710600,73.0
40.81615000,-73.4711200,74.0
40.81619000,-73.4711600,74.0
40.81624000,-73.4711500,74.0
40.81629000,-73.4711300,74.0
40.81633000,-73.4711600,74.0
40.81642000,-73.4712300,74.0
40.81652000,-73.4712100,74.0
40.81671000,-73.4712000,72.0
40.81691000,-73.4712300,72.0
40.81702000,-73.4714400,72.0
40.81719000,-73.4715800,71.0
40.81741000,-73.4715600,71.0
40.81761000,-73.4715700,70.0
40.81769000,-73.4715000,70.0
40.81777000,-73.4714100,70.0
40.81784000,-73.4713200,70.0
40.81790000,-73.4712100,70.0
40.81791000,-73.4710700,71.0
40.81792000,-73.4709700,71.0
40.81794000,-73.4709200,71.0
40.81796000,-73.4708600,71.0
40.81800000,-73.4708200,71.0
40.81803000,-73.4707700,71.0
40.81806000,-73.4707300,71.0
40.81811000,-73.4707000,71.0
40.81816000,-73.4707000,72.0
40.81821000,-73.4706900,72.0
40.81826000,-73.4707000,72.0
40.81829000,-73.4707600,72.0
40.81832000,-73.4708300,71.0
40.81836000,-73.4708600,71.0
40.81842000,-73.4708600,71.0
40.81847000,-73.4708600,71.0
40.81852000,-73.4708500,71.0
40.81857000,-73.4708400,71.0
40.81862000,-73.4708700,72.0
40.81867000,-73.4708700,72.0
40.81871000,-73.4709100,72.0
40.81874000,-73.4709900,72.0
40.81877000,-73.4710500,73.0
40.81881000,-73.4710400,73.0
40.81887000,-73.4710600,73.0
40.81892000,-73.4710800,74.0
40.81897000,-73.4710800,74.0
40.81902000,-73.4710800,74.0
40.81905000,-73.4711400,75.0
40.81910000,-73.4711700,75.0
40.81915000,-73.4712000,75.0
