Latitude,Longitude,Elevation
40.07521000,116.5359600,30.0
40.07519000,116.5359200,31.0
40.07515000,116.5359000,31.0
40.07512000,116.5359200,31.0
40.07509000,116.5359300,30.0
40.07506000,116.5359400,30.0
40.07503000,116.5359600,30.0
40.07500000,116.5359700,30.0
40.07496000,116.5359900,31.0
40.07492000,116.5360000,31.0
40.07489000,116.5360200,31.0
40.07486000,116.5360400,31.0
40.07482000,116.5360600,31.0
40.07478000,116.5360800,31.0
40.07475000,116.5361000,31.0
40.07471000,116.5361100,31.0
40.07468000,116.5361300,31.0
40.07464000,116.5361500,31.0
40.07460000,116.5361700,31.0
40.07457000,116.5361800,31.0
40.07453000,116.5362000,31.0
40.07449000,116.5362100,31.0
40.07445000,116.5362300,31.0
40.07441000,116.5362400,31.0
40.07437000,116.5362600,31.0
40.07433000,116.5362700,31.0
40.07429000,116.5362900,32.0
40.07425000,116.5363000,32.0
40.07421000,116.5363200,32.0
40.07416000,116.5363400,32.0
40.07412000,116.5363500,33.0
40.07408000,116.5363700,33.0
40.07404000,116.5363900,33.0
40.07401000,116.5364100,34.0
40.07398000,116.5364300,34.0
40.07395000,116.5364400,34.0
40.07390000,116.5364600,35.0
40.07386000,116.5364800,35.0
40.07382000,116.5364900,34.0
40.07378000,116.5365100,34.0
40.07373000,116.5365300,34.0
40.07370000,116.5365500,34.0
40.07367000,116.5365700,34.0
40.07364000,116.5365900,34.0
40.07360000,116.5366100,34.0
40.07357000,116.5366200,34.0
40.07353000,116.5366400,34.0
40.07350000,116.5366500,34.0
40.07346000,116.5366700,33.0
40.07342000,116.5366800,33.0
40.07338000,116.5366800,33.0
40.07333000,116.5366900,33.0
40.07329000,116.5366900,32.0
40.07324000,116.5367000,31.0
40.07320000,116.5367100,31.0
40.07315000,116.5367200,30.0
40.07310000,116.5367300,30.0
40.07305000,116.5367400,29.0
40.07300000,116.5367400,29.0
40.07295000,116.5367500,29.0
40.07290000,116.5367500,29.0
40.07284000,116.5367500,28.0
40.07279000,116.5367500,28.0
40.07273000,116.5367600,28.0
40.07268000,116.5367800,28.0
40.07263000,116.5368000,28.0
40.07258000,116.5368200,29.0
40.07253000,116.5368500,29.0
40.07248000,116.5368700,28.0
40.07243000,116.5368800,28.0
40.07238000,116.5369000,28.0
40.07232000,116.5369100,27.0
40.07227000,116.5369300,27.0
40.07222000,116.5369400,27.0
40.07217000,116.5369500,27.0
40.07212000,116.5369500,27.0
40.07206000,116.5369500,27.0
40.07201000,116.5369600,27.0
40.07196000,116.5369500,27.0
40.07191000,116.5369500,27.0
