Latitude,Longitude,Elevation
52.54261000,13.40801000,49.0
52.54265000,13.40746000,52.0
52.54306000,13.40723000,52.0
52.54356000,13.40697000,51.0
52.54384000,13.40683000,50.0
52.54411000,13.40668000,50.0
52.54422000,13.40665000,50.0
52.54512000,13.40621000,50.0
52.54554000,13.40600000,50.0
52.54562000,13.40597000,50.0
52.54559000,13.40586000,50.0
52.54567000,13.40583000,51.0
52.54590000,13.40531000,50.0
52.54596000,13.40508000,50.0
52.54599000,13.40499000,49.0
52.54628000,13.40445000,49.0
52.54646000,13.40413000,50.0
52.54637000,13.40370000,49.0
52.54631000,13.40339000,49.0
52.54629000,13.40323000,48.0
52.54626000,13.40305000,47.0
52.54653000,13.40290000,49.0
52.54657000,13.40288000,50.0
52.54663000,13.40286000,51.0
52.54674000,13.40286000,52.0
52.54675000,13.40286000,52.0
52.54666000,13.40183000,48.0
52.54662000,13.40143000,48.0
52.54660000,13.40126000,48.0
52.54681000,13.40118000,50.0
52.54748000,13.40089000,49.0
52.54757000,13.40085000,49.0
52.54837000,13.40054000,48.0
52.54838000,13.40054000,48.0
52.54862000,13.40044000,47.0
52.54868000,13.40042000,47.0
52.54873000,13.40041000,46.0
52.54878000,13.40040000,46.0
52.54901000,13.40034000,45.0
52.54907000,13.40035000,45.0
52.54908000,13.40035000,45.0
52.55016000,13.39991000,43.0
52.55095000,13.39960000,44.0
52.55103000,13.39957000,44.0
52.55107000,13.40004000,45.0
52.55108000,13.40010000,46.0
52.55110000,13.40027000,47.0
52.55120000,13.40021000,48.0
52.55124000,13.40020000,49.0
52.55125000,13.40022000,49.0
52.55124000,13.40030000,50.0
52.55131000,13.40026000,50.0
52.55153000,13.40009000,51.0
52.55161000,13.39996000,51.0
52.55188000,13.39982000,50.0
52.55242000,13.39957000,51.0
52.55265000,13.39946000,52.0
52.55356000,13.39918000,47.0
52.55366000,13.39914000,47.0
52.55439000,13.39894000,50.0
52.55447000,13.39893000,51.0
52.55479000,13.39884000,50.0
52.55497000,13.39872000,49.0
52.55546000,13.39862000,47.0
52.55653000,13.39857000,44.0
52.55713000,13.39863000,45.0
52.55833000,13.39906000,43.0
52.55851000,13.39903000,42.0
52.55853000,13.39884000,42.0
52.55854000,13.39879000,42.0
52.55857000,13.39856000,43.0
52.55857000,13.39846000,43.0
52.55865000,13.39794000,44.0
52.55863000,13.39780000,44.0
