Latitude,Longitude,Elevation
52.51962000,13.29589000,32.0
52.51950000,13.29525000,33.0
52.51950000,13.29555000,31.0
52.51955000,13.29581000,32.0
52.51957000,13.29601000,33.0
52.51956000,13.29614000,33.0
52.51957000,13.29635000,33.0
52.51958000,13.29648000,34.0
52.51958000,13.29675000,35.0
52.51958000,13.29698000,34.0
52.51961000,13.29714000,35.0
52.51962000,13.29732000,35.0
52.51962000,13.29748000,36.0
52.51962000,13.29758000,36.0
52.51963000,13.29776000,37.0
52.51967000,13.29793000,37.0
52.51970000,13.29806000,36.0
52.51969000,13.29819000,36.0
52.51967000,13.29833000,36.0
52.51967000,13.29869000,35.0
52.51970000,13.29893000,35.0
52.51970000,13.29918000,35.0
52.51971000,13.29939000,35.0
52.51964000,13.29962000,36.0
52.51956000,13.29977000,37.0
52.51949000,13.29991000,37.0
52.51944000,13.30008000,38.0
52.51939000,13.30031000,39.0
52.51936000,13.30042000,39.0
52.51928000,13.30064000,40.0
52.51924000,13.30080000,39.0
52.51917000,13.30095000,38.0
52.51913000,13.30110000,37.0
52.51906000,13.30127000,36.0
52.51900000,13.30153000,35.0
52.51892000,13.30175000,35.0
52.51888000,13.30192000,35.0
52.51882000,13.30207000,36.0
52.51876000,13.30217000,36.0
52.51868000,13.30237000,35.0
52.51863000,13.30256000,36.0
52.51854000,13.30281000,36.0
52.51849000,13.30299000,36.0
52.51846000,13.30312000,36.0
52.51844000,13.30318000,36.0
52.51846000,13.30335000,37.0
52.51844000,13.30339000,37.0
52.51837000,13.30364000,37.0
52.51832000,13.30380000,37.0
52.51825000,13.30400000,38.0
52.51818000,13.30416000,38.0
52.51810000,13.30436000,38.0
52.51803000,13.30449000,39.0
52.51800000,13.30466000,39.0
52.51795000,13.30483000,40.0
52.51789000,13.30500000,41.0
52.51784000,13.30515000,41.0
52.51783000,13.30532000,41.0
52.51782000,13.30551000,41.0
52.51775000,13.30562000,41.0
52.51766000,13.30579000,41.0
52.51760000,13.30594000,41.0
52.51755000,13.30607000,40.0
52.51750000,13.30621000,40.0
52.51746000,13.30632000,41.0
52.51739000,13.30649000,42.0
52.51733000,13.30670000,42.0
52.51728000,13.30691000,43.0
52.51725000,13.30708000,44.0
52.51723000,13.30712000,44.0
52.51720000,13.30733000,45.0
52.51719000,13.30754000,44.0
52.51716000,13.30771000,43.0
52.51716000,13.30775000,43.0
52.51715000,13.30795000,42.0
52.51711000,13.30814000,40.0
52.51702000,13.30831000,38.0
52.51693000,13.30849000,37.0
52.51681000,13.30869000,37.0
52.51673000,13.30889000,38.0
52.51667000,13.30900000,38.0
52.51657000,13.30916000,37.0
52.51653000,13.30936000,37.0
52.51648000,13.30958000,36.0
52.51644000,13.30968000,37.0
52.51639000,13.30982000,37.0
52.51634000,13.31003000,37.0
52.51628000,13.31022000,37.0
52.51624000,13.31037000,38.0
52.51615000,13.31057000,39.0
52.51611000,13.31074000,39.0
52.51604000,13.31098000,39.0
52.51600000,13.31108000,39.0
52.51594000,13.31122000,39.0
52.51589000,13.31134000,39.0
52.51584000,13.31158000,38.0
52.51583000,13.31162000,38.0
52.51578000,13.31184000,37.0
52.51577000,13.31189000,37.0
52.51573000,13.31204000,37.0
52.51569000,13.31223000,36.0
52.51565000,13.31230000,36.0
52.51558000,13.31257000,35.0
52.51549000,13.31279000,35.0
52.51547000,13.31292000,35.0
52.51538000,13.31309000,36.0
52.51531000,13.31328000,37.0
52.51524000,13.31346000,38.0
52.51518000,13.31362000,37.0
52.51512000,13.31385000,37.0
52.51506000,13.31408000,37.0
52.51501000,13.31429000,37.0
52.51493000,13.31451000,37.0
52.51485000,13.31472000,37.0
52.51479000,13.31488000,37.0
52.51473000,13.31505000,36.0
52.51468000,13.31529000,37.0
52.51464000,13.31548000,38.0
52.51457000,13.31573000,38.0
52.51449000,13.31599000,39.0
52.51448000,13.31604000,39.0
52.51446000,13.31628000,39.0
52.51440000,13.31646000,39.0
52.51435000,13.31663000,39.0
52.51431000,13.31680000,39.0
52.51426000,13.31703000,40.0
52.51418000,13.31719000,41.0
52.51411000,13.31737000,41.0
52.51407000,13.31751000,41.0
52.51402000,13.31775000,42.0
52.51395000,13.31791000,41.0
52.51392000,13.31798000,41.0
52.51389000,13.31812000,40.0
52.51387000,13.31819000,39.0
52.51385000,13.31827000,39.0
52.51381000,13.31853000,38.0
52.51381000,13.31869000,38.0
52.51374000,13.31882000,38.0
52.51374000,13.31886000,38.0
52.51374000,13.31910000,39.0
52.51368000,13.31938000,39.0
52.51367000,13.31946000,39.0
52.51362000,13.31961000,39.0
52.51358000,13.31981000,40.0
52.51356000,13.31998000,40.0
52.51349000,13.32018000,40.0
52.51343000,13.32037000,41.0
52.51337000,13.32054000,42.0
52.51330000,13.32071000,43.0
52.51324000,13.32087000,44.0
52.51318000,13.32102000,45.0
52.51314000,13.32126000,45.0
52.51316000,13.32144000,42.0
52.51317000,13.32165000,39.0
52.51318000,13.32174000,39.0
52.51322000,13.32193000,38.0
52.51322000,13.32202000,38.0
52.51319000,13.32220000,39.0
52.51315000,13.32237000,39.0
52.51311000,13.32249000,40.0
52.51304000,13.32262000,41.0
52.51291000,13.32279000,43.0
52.51281000,13.32292000,43.0
52.51273000,13.32305000,42.0
52.51268000,13.32323000,40.0
52.51265000,13.32343000,39.0
52.51265000,13.32354000,38.0
52.51265000,13.32371000,37.0
52.51269000,13.32395000,36.0
52.51270000,13.32407000,36.0
52.51274000,13.32421000,36.0
52.51276000,13.32443000,35.0
52.51279000,13.32461000,35.0
52.51280000,13.32474000,36.0
52.51281000,13.32497000,37.0
52.51283000,13.32520000,36.0
52.51287000,13.32542000,36.0
52.51289000,13.32554000,36.0
52.51288000,13.32563000,36.0
52.51289000,13.32584000,36.0
52.51291000,13.32602000,36.0
52.51292000,13.32614000,37.0
52.51293000,13.32624000,37.0
52.51294000,13.32648000,37.0
52.51296000,13.32657000,37.0
52.51300000,13.32679000,38.0
52.51300000,13.32702000,37.0
52.51300000,13.32733000,37.0
52.51302000,13.32761000,37.0
52.51303000,13.32776000,37.0
52.51306000,13.32811000,38.0
52.51309000,13.32831000,38.0
52.51311000,13.32850000,38.0
52.51313000,13.32873000,38.0
