Latitude,Longitude,Elevation
52.52297000,13.40188000,44.0
52.52348000,13.40293000,43.0
52.52375000,13.40235000,45.0
52.52405000,13.40255000,45.0
52.52424000,13.40208000,48.0
52.52417000,13.40257000,45.0
52.52499000,13.40315000,45.0
52.52556000,13.40115000,45.0
52.52649000,13.40211000,41.0
52.52732000,13.39929000,40.0
52.52749000,13.39911000,39.0
52.52730000,13.39813000,38.0
52.52679000,13.39556000,41.0
52.52645000,13.39359000,42.0
52.52748000,13.39298000,42.0
52.52774000,13.39391000,40.0
52.52738000,13.39412000,41.0
52.52739000,13.39416000,41.0
52.52774000,13.39398000,40.0
52.52780000,13.39395000,40.0
52.52751000,13.39285000,41.0
52.52644000,13.39347000,41.0
52.52572000,13.38977000,35.0
52.52548000,13.38970000,35.0
52.52548000,13.38978000,35.0
52.52567000,13.38986000,35.0
52.52498000,13.39283000,40.0
52.52396000,13.39701000,39.0
52.52389000,13.39696000,39.0
52.52395000,13.39670000,39.0
52.52234000,13.39579000,30.0
52.52252000,13.39418000,33.0
52.52198000,13.39383000,35.0
52.52175000,13.39334000,35.0
52.52097000,13.39453000,34.0
52.51979000,13.39616000,31.0
52.51968000,13.39651000,30.0
52.51949000,13.39695000,29.0
