Latitude,Longitude,Elevation
52.51518000,13.36022000,40.0
52.51518000,13.36018000,40.0
52.51516000,13.36004000,40.0
52.51515000,13.35988000,40.0
52.51514000,13.35978000,40.0
52.51512000,13.35963000,41.0
52.51508000,13.35937000,41.0
52.51506000,13.35908000,39.0
52.51506000,13.35878000,38.0
52.51503000,13.35844000,38.0
52.51500000,13.35811000,37.0
52.51497000,13.35780000,36.0
52.51496000,13.35747000,35.0
52.51495000,13.35714000,35.0
52.51491000,13.35681000,35.0
52.51489000,13.35648000,35.0
52.51487000,13.35617000,35.0
52.51485000,13.35586000,35.0
52.51485000,13.35556000,36.0
52.51482000,13.35523000,37.0
52.51480000,13.35491000,37.0
52.51478000,13.35460000,36.0
52.51477000,13.35428000,35.0
52.51474000,13.35396000,34.0
52.51474000,13.35387000,34.0
52.51472000,13.35353000,35.0
52.51470000,13.35323000,36.0
52.51468000,13.35289000,39.0
52.51465000,13.35256000,39.0
52.51463000,13.35223000,39.0
52.51464000,13.35189000,36.0
52.51467000,13.35157000,34.0
52.51478000,13.35131000,34.0
52.51492000,13.35109000,34.0
52.51500000,13.35087000,36.0
52.51504000,13.35071000,37.0
52.51512000,13.35040000,37.0
52.51512000,13.35010000,36.0
52.51507000,13.34980000,34.0
52.51498000,13.34950000,31.0
52.51485000,13.34927000,32.0
52.51472000,13.34905000,33.0
52.51457000,13.34884000,34.0
52.51447000,13.34858000,36.0
52.51441000,13.34828000,38.0
52.51437000,13.34797000,38.0
52.51434000,13.34767000,39.0
52.51432000,13.34736000,39.0
52.51430000,13.34703000,39.0
52.51429000,13.34670000,39.0
52.51429000,13.34639000,39.0
52.51426000,13.34607000,39.0
52.51426000,13.34578000,38.0
52.51425000,13.34546000,37.0
52.51424000,13.34516000,38.0
52.51421000,13.34483000,38.0
52.51418000,13.34449000,38.0
52.51413000,13.34419000,38.0
52.51409000,13.34386000,37.0
52.51405000,13.34355000,37.0
52.51403000,13.34324000,36.0
52.51402000,13.34290000,34.0
52.51401000,13.34259000,33.0
52.51399000,13.34229000,32.0
52.51397000,13.34197000,35.0
52.51396000,13.34164000,37.0
52.51394000,13.34130000,38.0
52.51393000,13.34101000,37.0
52.51391000,13.34071000,36.0
52.51388000,13.34039000,35.0
52.51384000,13.34009000,35.0
52.51383000,13.33988000,35.0
52.51380000,13.33956000,36.0
52.51377000,13.33926000,36.0
52.51374000,13.33896000,36.0
52.51373000,13.33862000,36.0
52.51371000,13.33841000,36.0
52.51368000,13.33810000,36.0
52.51368000,13.33780000,35.0
52.51369000,13.33766000,35.0
52.51370000,13.33737000,34.0
52.51368000,13.33705000,34.0
52.51368000,13.33673000,36.0
52.51364000,13.33643000,36.0
52.51361000,13.33610000,37.0
52.51363000,13.33605000,37.0
52.51360000,13.33575000,38.0
52.51352000,13.33544000,38.0
52.51348000,13.33511000,38.0
52.51345000,13.33487000,37.0
52.51345000,13.33481000,36.0
52.51344000,13.33470000,36.0
52.51342000,13.33453000,35.0
52.51341000,13.33443000,34.0
52.51341000,13.33420000,35.0
52.51341000,13.33389000,36.0
52.51340000,13.33357000,35.0
52.51340000,13.33352000,35.0
52.51340000,13.33321000,35.0
52.51338000,13.33291000,35.0
52.51337000,13.33261000,36.0
52.51336000,13.33229000,36.0
52.51335000,13.33198000,36.0
52.51334000,13.33163000,35.0
52.51330000,13.33130000,34.0
52.51327000,13.33108000,34.0
52.51325000,13.33076000,37.0
52.51322000,13.33047000,38.0
52.51319000,13.33015000,39.0
52.51316000,13.32989000,39.0
52.51313000,13.32956000,39.0
52.51311000,13.32922000,38.0
52.51310000,13.32890000,37.0
52.51307000,13.32858000,38.0
52.51306000,13.32825000,38.0
52.51306000,13.32796000,38.0
52.51302000,13.32763000,37.0
52.51299000,13.32729000,37.0
52.51297000,13.32706000,37.0
52.51294000,13.32674000,38.0
52.51292000,13.32642000,37.0
52.51290000,13.32611000,36.0
52.51288000,13.32587000,36.0
52.51286000,13.32556000,35.0
52.51285000,13.32522000,36.0
52.51283000,13.32490000,36.0
52.51280000,13.32457000,35.0
52.51281000,13.32425000,35.0
52.51280000,13.32414000,36.0
52.51278000,13.32380000,36.0
52.51278000,13.32350000,39.0
52.51280000,13.32319000,41.0
52.51282000,13.32314000,42.0
52.51296000,13.32292000,42.0
52.51312000,13.32276000,41.0
52.51329000,13.32261000,39.0
52.51348000,13.32257000,41.0
52.51367000,13.32254000,42.0
52.51383000,13.32232000,40.0
52.51402000,13.32231000,39.0
52.51419000,13.32218000,37.0
52.51442000,13.32230000,36.0
52.51449000,13.32235000,36.0
52.51467000,13.32243000,36.0
52.51484000,13.32253000,37.0
52.51502000,13.32271000,37.0
52.51519000,13.32286000,38.0
52.51536000,13.32302000,38.0
52.51552000,13.32319000,37.0
52.51568000,13.32334000,37.0
52.51588000,13.32348000,36.0
52.51605000,13.32360000,36.0
52.51621000,13.32376000,36.0
52.51637000,13.32379000,36.0
52.51655000,13.32383000,36.0
52.51673000,13.32395000,35.0
52.51679000,13.32402000,35.0
52.51685000,13.32408000,35.0
52.51689000,13.32413000,35.0
52.51703000,13.32436000,36.0
52.51708000,13.32444000,36.0
52.51713000,13.32450000,37.0
52.51727000,13.32468000,38.0
52.51744000,13.32487000,40.0
52.51763000,13.32499000,42.0
52.51783000,13.32504000,44.0
52.51786000,13.32505000,44.0
52.51805000,13.32513000,44.0
