Latitude,Longitude,Elevation
52.49906000,13.41843000,38.0
52.49916000,13.41874000,37.0
52.49917000,13.41948000,41.0
52.49918000,13.42023000,42.0
52.49918000,13.42097000,38.0
52.49919000,13.42172000,36.0
52.49920000,13.42246000,35.0
52.49952000,13.42256000,36.0
52.49962000,13.42269000,37.0
52.49961000,13.42279000,37.0
52.49962000,13.42269000,37.0
52.49953000,13.42256000,36.0
52.49920000,13.42246000,35.0
52.49898000,13.42238000,35.0
52.49900000,13.42327000,35.0
52.49901000,13.42415000,37.0
52.49903000,13.42504000,41.0
52.49907000,13.42588000,41.0
52.49911000,13.42671000,38.0
52.49915000,13.42755000,38.0
52.49922000,13.42900000,39.0
52.49925000,13.42955000,40.0
52.49922000,13.43043000,39.0
52.49922000,13.43158000,37.0
52.49928000,13.43233000,36.0
52.49937000,13.43245000,37.0
52.49951000,13.43333000,39.0
52.49979000,13.43323000,40.0
52.50051000,13.43395000,40.0
52.50103000,13.43457000,39.0
52.50154000,13.43518000,36.0
52.50203000,13.43572000,35.0
52.50251000,13.43626000,35.0
52.50297000,13.43682000,35.0
52.50342000,13.43738000,36.0
52.50339000,13.43752000,37.0
52.50357000,13.43772000,39.0
52.50339000,13.43751000,37.0
52.50307000,13.43813000,41.0
52.50274000,13.43875000,40.0
52.50239000,13.43943000,36.0
52.50203000,13.44011000,38.0
52.50149000,13.44111000,39.0
52.50123000,13.44158000,39.0
52.50094000,13.44121000,42.0
52.50081000,13.44105000,42.0
52.50062000,13.44112000,41.0
52.50054000,13.44133000,40.0
52.50049000,13.44140000,39.0
52.50016000,13.44118000,40.0
52.49973000,13.44074000,43.0
52.49929000,13.44030000,42.0
52.49926000,13.44027000,42.0
52.49898000,13.44094000,42.0
52.49871000,13.44161000,41.0
52.49843000,13.44228000,40.0
52.49808000,13.44316000,41.0
52.49772000,13.44403000,38.0
52.49814000,13.44443000,38.0
52.49855000,13.44483000,39.0
52.49927000,13.44552000,38.0
52.49997000,13.44618000,39.0
52.49998000,13.44613000,39.0
52.49930000,13.44540000,39.0
52.49969000,13.44470000,41.0
52.50007000,13.44399000,39.0
52.50068000,13.44458000,38.0
52.50091000,13.44481000,37.0
52.50113000,13.44506000,34.0
52.50127000,13.44524000,32.0
52.50262000,13.44697000,33.0
52.50260000,13.44696000,33.0
52.50264000,13.44681000,33.0
52.50326000,13.44739000,37.0
52.50378000,13.44779000,38.0
52.50430000,13.44820000,41.0
52.50482000,13.44860000,48.0
52.50546000,13.44888000,42.0
52.50554000,13.44891000,37.0
52.50556000,13.44907000,35.0
52.50611000,13.44943000,34.0
52.50667000,13.44978000,34.0
52.50722000,13.45014000,37.0
52.50749000,13.45025000,40.0
52.50763000,13.45059000,42.0
52.50809000,13.45085000,42.0
52.50855000,13.45111000,41.0
52.50842000,13.45187000,41.0
52.50829000,13.45262000,40.0
52.50816000,13.45338000,37.0
52.50799000,13.45431000,39.0
52.50783000,13.45524000,41.0
52.50832000,13.45547000,41.0
52.50880000,13.45571000,45.0
52.50929000,13.45594000,44.0
52.50993000,13.45624000,43.0
52.51057000,13.45654000,44.0
52.51135000,13.45691000,42.0
52.51186000,13.45716000,43.0
52.51236000,13.45740000,43.0
52.51275000,13.45779000,41.0
52.51284000,13.45793000,41.0
52.51260000,13.45931000,44.0
52.51252000,13.45933000,44.0
52.51198000,13.45907000,44.0
52.51144000,13.45880000,41.0
52.51132000,13.45954000,41.0
52.51119000,13.46029000,41.0
52.51107000,13.46103000,43.0
52.51062000,13.46082000,42.0
52.51017000,13.46060000,41.0
52.50954000,13.46029000,43.0
52.50891000,13.45999000,45.0
52.50827000,13.45967000,42.0
52.50773000,13.45941000,37.0
52.50718000,13.45914000,38.0
52.50651000,13.45881000,37.0
52.50634000,13.45918000,36.0
52.50629000,13.45924000,36.0
52.50611000,13.45915000,36.0
52.50591000,13.45905000,34.0
